epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,943.431,0.96265,0.59961,1.2292,0.84915,0.82882,0.87145,0.57373,1.13145,0.65144,1.28733,0.008581,0.008581,0.008581
45,964.75,0.9482,0.58835,1.21282,0.84725,0.77094,0.85949,0.57279,1.11827,0.65092,1.27363,0.008548,0.008548,0.008548
46,985.867,0.9622,0.58931,1.20824,0.85303,0.80049,0.87275,0.58037,1.14251,0.62071,1.28866,0.008515,0.008515,0.008515
47,1007.09,0.94052,0.58227,1.20743,0.86406,0.79064,0.87539,0.58776,1.11024,0.62951,1.25638,0.008482,0.008482,0.008482
48,1027.66,0.95101,0.57134,1.2037,0.84988,0.82143,0.88385,0.58666,1.11437,0.61191,1.27006,0.008449,0.008449,0.008449
49,1049.18,0.94702,0.57619,1.20422,0.83116,0.82453,0.86961,0.58422,1.11738,0.63269,1.27161,0.008416,0.008416,0.008416
50,1070.98,0.92357,0.56607,1.20024,0.84451,0.8202,0.87725,0.58161,1.14021,0.62044,1.28956,0.008383,0.008383,0.008383
51,1092.7,0.93366,0.57055,1.19893,0.82855,0.84509,0.88626,0.58501,1.12852,0.62443,1.28808,0.00835,0.00835,0.00835
52,1113.02,0.92181,0.56669,1.19375,0.8551,0.82127,0.88164,0.58164,1.13769,0.60937,1.28183,0.008317,0.008317,0.008317
53,1134.01,0.91674,0.55758,1.1957,0.88207,0.79216,0.88277,0.58334,1.12989,0.61873,1.26926,0.008284,0.008284,0.008284
54,1154.95,0.91435,0.55663,1.19036,0.85235,0.82512,0.87737,0.58617,1.11898,0.61346,1.26921,0.008251,0.008251,0.008251
55,1176.67,0.92516,0.55235,1.18047,0.85723,0.83559,0.87881,0.57291,1.1391,0.61945,1.28878,0.008218,0.008218,0.008218
56,1197.82,0.92144,0.55907,1.18148,0.87925,0.81773,0.88838,0.5902,1.12983,0.6162,1.28379,0.008185,0.008185,0.008185
57,1219.05,0.91934,0.54975,1.185,0.87326,0.78818,0.87994,0.58204,1.12252,0.63411,1.28893,0.008152,0.008152,0.008152
58,1239.83,0.91567,0.54807,1.17164,0.86983,0.81773,0.88005,0.59245,1.11332,0.59957,1.27784,0.008119,0.008119,0.008119
59,1260.7,0.90919,0.55118,1.18571,0.87247,0.82512,0.88498,0.58719,1.13088,0.60726,1.28602,0.008086,0.008086,0.008086
60,1281.82,0.89163,0.54329,1.17846,0.85704,0.80473,0.87207,0.58725,1.1167,0.63679,1.28313,0.008053,0.008053,0.008053
61,1303,0.89979,0.52683,1.16666,0.86333,0.81686,0.88288,0.58475,1.13974,0.6077,1.28943,0.00802,0.00802,0.00802
62,1323.77,0.89764,0.53607,1.16485,0.86948,0.81221,0.87439,0.57673,1.13863,0.63925,1.28369,0.007987,0.007987,0.007987
63,1345.19,0.88586,0.53035,1.15816,0.86392,0.79803,0.86894,0.57716,1.16419,0.6211,1.30713,0.007954,0.007954,0.007954
64,1366.24,0.91288,0.54308,1.16644,0.8788,0.79064,0.87392,0.5834,1.14615,0.60914,1.28637,0.007921,0.007921,0.007921
